number_of_solution,stacking_time
1,4.23.22
2,3.29.00
3,4.10.05
4,3.57.17
5,5.10.30
6,4.34.17
7,4.04.49
8,3.45.28
9,4.11.64
10,3.48.44
11,3.36.45
12,3.07.09
13,3.32.60
14,3.32.56
15,3.26.89
16,3.17.95
17,3.10.55
18,2.42.46
19,3.51.58
20,3.33.30
21,2.50.29
22,3.53.86
23,3.00.61
24,2.37.60
25,3.30.10
26,3.11.17
27,3.08.57
28,4.00.42
29,3.26.25
30,3.01.44
31,3.01.91
32,3.13.48
33,2.47.50
34,2.31.36
35,3.07.51
36,3.02.98
37,3.21.72
38,2.33.47
39,2.39.32
40,3.09.47
41,2.23.82
42,2.42.36
43,2.32.20
44,3.12.01
45,2.18.69
46,2.18.64
47,2.53.61
48,2.55.09
49,2.14.00
50,1.58.51
51,2.35.61
52,2.53.45
53,2.35.83
54,2.58.08
55,2.05.77
56,2.06.73
57,1.55.76
58,3.06.92
59,2.02.18
60,2.45.34
61,2.47.45
62,2.20.10
63,1.54.39
64,1.59.34
65,2.27.99
66,2.48.01
67,2.19.51
68,2.25.90
69,2.10.08
70,2.18.15
71,3.03.89
72,2.08.52
73,2.27.99
74,2.38.98
75,1.56.68
76,2.21.67
77,2.00.82
78,2.02.80
79,2.06.06
80,2.09.31
81,2.44.43
82,2.10.05
83,1.52.14
84,1.55.07
85,2.21.45
86,2.04.71
87,2.21.46
88,2.17.43
89,2.07.93
90,2.09.09
91,2.09.75
92,2.20.74
93,2.01.94
94,2.14.17
95,1.47.03
96,2.20.44
97,2.42.16
98,2.14.27
99,2.21.21
100,1.45.68
101,1.45.27
102,2.00.00
103,2.12.66
104,2.14.15
105,2.20.17
106,1.51.45
107,1.59.14
108,2.30.33
109,2.00.76
110,1.56.82
111,2.11.36
112,2.03.43
